ad_object_guid,sam_account_name,user_principal_name,distinguished_name,display_name,given_name,surname,email,department,job_title,manager_dn,account_enabled,user_account_control,password_last_set,last_logon,account_created,ou
7914c120-c8dc-d19f-3e35-11287900f7f9,djohnson,danielle.johnson@corp.nexusai.com,"CN=Danielle Johnson,OU=Executives,DC=corp,DC=nexusai,DC=com",Danielle Johnson,Danielle,Johnson,danielle.johnson@corp.nexusai.com,Executive,SVP Finance,,True,512,2025-05-07 17:17:50,2026-06-12 00:00:00,2023-04-12,OU=Executives
a748dbcf-ac61-9e63-0dde-29a6baa4b71a,jwalker,joshua.walker@corp.nexusai.com,"CN=Joshua Walker,OU=Executives,DC=corp,DC=nexusai,DC=com",Joshua Walker,Joshua,Walker,joshua.walker@corp.nexusai.com,Executive,SVP Finance,,True,512,2025-10-13 06:09:29,2026-06-18 00:00:00,2021-12-26,OU=Executives
310c0c00-3fa7-f104-1bf9-0e27dc96925e,jrhodes,jill.rhodes@corp.nexusai.com,"CN=Jill Rhodes,OU=Executives,DC=corp,DC=nexusai,DC=com",Jill Rhodes,Jill,Rhodes,jill.rhodes@corp.nexusai.com,Executive,CEO,,True,512,2021-01-28 02:26:08,2026-06-20 00:00:00,2020-08-05,OU=Executives
db20a56e-dc81-5fe7-ceda-8bbb71710434,pmiller,patricia.miller@corp.nexusai.com,"CN=Patricia Miller,OU=Executives,DC=corp,DC=nexusai,DC=com",Patricia Miller,Patricia,Miller,patricia.miller@corp.nexusai.com,Executive,SVP Finance,,True,512,2024-06-02 06:26:29,2026-06-07 00:00:00,2021-07-17,OU=Executives
680ac07a-2a93-5d62-3c83-5dc0d9441fa5,rjohnson,robert.johnson@corp.nexusai.com,"CN=Robert Johnson,OU=Executives,DC=corp,DC=nexusai,DC=com",Robert Johnson,Robert,Johnson,robert.johnson@corp.nexusai.com,Executive,CTO,,True,512,2024-11-12 15:34:16,2026-06-07 00:00:00,2023-03-22,OU=Executives
b253d218-6c4a-37ea-4906-17f2747b6dba,jwagner,jeffery.wagner@corp.nexusai.com,"CN=Jeffery Wagner,OU=Executives,DC=corp,DC=nexusai,DC=com",Jeffery Wagner,Jeffery,Wagner,jeffery.wagner@corp.nexusai.com,Executive,CFO,,True,512,2022-10-31 23:38:16,2026-06-11 00:00:00,2020-11-02,OU=Executives
37bb3eec-4bf5-0b52-309d-258c27a0c3d7,agonzalez,anthony.gonzalez@corp.nexusai.com,"CN=Anthony Gonzalez,OU=Executives,DC=corp,DC=nexusai,DC=com",Anthony Gonzalez,Anthony,Gonzalez,anthony.gonzalez@corp.nexusai.com,Executive,VP Engineering,,True,512,2024-12-26 21:39:18,2026-06-19 00:00:00,2021-05-11,OU=Executives
7a0ecfea-958c-a9ba-0cd6-20c20ea2622b,dgardner,debra.gardner@corp.nexusai.com,"CN=Debra Gardner,OU=Executives,DC=corp,DC=nexusai,DC=com",Debra Gardner,Debra,Gardner,debra.gardner@corp.nexusai.com,Executive,CISO,,True,512,2025-01-28 02:37:56,2026-06-08 00:00:00,2024-05-02,OU=Executives
118a9d29-2f92-3996-d9f1-95d014822f53,jlawrence,jeffrey.lawrence@corp.nexusai.com,"CN=Jeffrey Lawrence,OU=Engineering,DC=corp,DC=nexusai,DC=com",Jeffrey Lawrence,Jeffrey,Lawrence,jeffrey.lawrence@corp.nexusai.com,Engineering,Engineering Manager,,True,512,2025-05-22 07:52:25,2026-06-19 00:00:00,2025-02-24,OU=Engineering
94340a03-3f07-f814-91d6-3f78e3e9de99,lsmith,lisa.smith@corp.nexusai.com,"CN=Lisa Smith,OU=IT,DC=corp,DC=nexusai,DC=com",Lisa Smith,Lisa,Smith,lisa.smith@corp.nexusai.com,IT-Operations,Infrastructure Engineer,,True,512,2023-05-17 20:04:28,2026-06-20 00:00:00,2022-04-25,OU=IT
