arn,username,user_id,account_id,path,email_tag,created_date,password_last_used,access_key_last_used,account_type,has_console_access,has_programmatic_access,tags
arn:aws:iam::123456789012:user/jillr,jillr,AIDAVYU7CEPSOF3GG4KTB,123456789012,/,jill.rhodes@corp.nexusai.com,2020-08-05,2026-06-13 00:00:00,2026-06-13 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""jill.rhodes@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/patricia-miller,patricia-miller,AIDAYP7JO5Q5QA5SKE4WT,123456789012,/,patricia.miller@corp.nexusai.com,2021-07-17,2026-06-19 00:00:00,2026-06-19 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""patricia.miller@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/robert-johnson,robert-johnson,AIDARAD7SOWOMQIGCT4CX,123456789012,/,robert.johnson@corp.nexusai.com,2023-03-22,2026-06-14 00:00:00,2026-06-14 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""robert.johnson@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/a.gonzalez,a.gonzalez,AIDA5T2HICCT7HGPIY5X2,123456789012,/,anthony.gonzalez@corp.nexusai.com,2021-05-11,2026-06-07 00:00:00,2026-06-07 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""anthony.gonzalez@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/lisa-smith,lisa-smith,AIDANENNOVJARJIQLHBIA,123456789012,/it/,,2022-04-25,2026-06-14 00:00:00,2026-06-14 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""lisa.smith@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/lindaw,lindaw,AIDAG4OCT5BD6Z3G74EFU,123456789012,/finance/,linda.wolfe@corp.nexusai.com,2023-09-12,2026-06-09 00:00:00,2026-06-09 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""linda.wolfe@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
arn:aws:iam::123456789012:user/susan-rogers,susan-rogers,AIDAJ6EFFF3GXIDVH2W3D,123456789012,/,,2023-02-20,2026-06-15 00:00:00,2026-06-15 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""susan.rogers@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/lindsay-blair,lindsay-blair,AIDANIQSUHA73LIYOWEZC,123456789012,/,,2025-02-01,2026-06-10 00:00:00,2026-06-10 00:00:00,human,True,False,"{""Department"": ""Legal"", ""Email"": ""lindsay.blair@corp.nexusai.com"", ""CostCenter"": ""Legal""}"
arn:aws:iam::123456789012:user/amanda-dudley,amanda-dudley,AIDA3B5EU3Z2SHZBUK5XF,123456789012,/,amanda.dudley@corp.nexusai.com,2024-10-26,2025-07-04 00:00:00,2025-07-04 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""amanda.dudley@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/m.montgomery,m.montgomery,AIDAET54CDXSEFY5C4MU6,123456789012,/,maria.montgomery@corp.nexusai.com,2021-04-23,2026-06-09 00:00:00,2026-06-09 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""maria.montgomery@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/christopher-hall,christopher-hall,AIDA45SY2KMIQD6XGHSFK,123456789012,/it/,,2025-06-07,2026-06-19 00:00:00,2026-06-19 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""christopher.hall@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/d.lynch,d.lynch,AIDAWVL56LIE5CSMCMCUT,123456789012,/,deborah.lynch@corp.nexusai.com,2022-08-07,2026-06-19 00:00:00,2026-06-19 00:00:00,human,True,False,"{""Department"": ""Operations"", ""Email"": ""deborah.lynch@corp.nexusai.com"", ""CostCenter"": ""Operations""}"
arn:aws:iam::123456789012:user/g.daniel,g.daniel,AIDAZ4YVL77XRF3F3LSUG,123456789012,/,george.daniel@corp.nexusai.com,2022-09-04,2026-06-09 00:00:00,2026-06-09 00:00:00,human,True,False,"{""Department"": ""Operations"", ""Email"": ""george.daniel@corp.nexusai.com"", ""CostCenter"": ""Operations""}"
arn:aws:iam::123456789012:user/angela-cohen,angela-cohen,AIDAIE4L4FUWESTKLXOHM,123456789012,/it/,,2021-05-13,2026-06-14 00:00:00,2026-06-14 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""angela.cohen@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/meganp,meganp,AIDA22EIUE45WILI3DHJT,123456789012,/it/,megan.parsons@corp.nexusai.com,2024-01-02,2026-06-16 00:00:00,2026-06-16 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""megan.parsons@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/nancy-edwards,nancy-edwards,AIDAHR4PJGDSY2PKUUMK7,123456789012,/finance/,nancy.edwards@corp.nexusai.com,2021-11-10,2026-06-10 00:00:00,2026-06-10 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""nancy.edwards@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
arn:aws:iam::123456789012:user/robine,robine,AIDADMXSEY4RHIGZXVXJM,123456789012,/,,2021-12-28,2026-06-10 00:00:00,2026-06-10 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""robin.ellis@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/anna-baker,anna-baker,AIDA2TB6QOD6KYJPCHMB4,123456789012,/security/,anna.baker@corp.nexusai.com,2023-08-30,2026-06-19 00:00:00,2026-06-19 00:00:00,human,True,True,"{""Department"": ""Security"", ""Email"": ""anna.baker@corp.nexusai.com"", ""CostCenter"": ""Security""}"
arn:aws:iam::123456789012:user/b.hurst,b.hurst,AIDAYUL5VWQ6MPRTOTSN7,123456789012,/engineering/,brenda.hurst@corp.nexusai.com,2023-10-11,2026-06-13 00:00:00,2026-06-13 00:00:00,human,True,True,"{""Department"": ""Engineering"", ""Email"": ""brenda.hurst@corp.nexusai.com"", ""CostCenter"": ""Engineering""}"
arn:aws:iam::123456789012:user/reginald-robinson,reginald-robinson,AIDAFW4Q6NMRRIGPPDOOD,123456789012,/,reginald.robinson@corp.nexusai.com,2021-12-22,2026-06-13 00:00:00,2026-06-13 00:00:00,human,True,False,"{""Department"": ""Legal"", ""Email"": ""reginald.robinson@corp.nexusai.com"", ""CostCenter"": ""Legal""}"
arn:aws:iam::123456789012:user/christopherw,christopherw,AIDAATGVS57I5RMHVK5QL,123456789012,/,christopher.williams@corp.nexusai.com,2023-03-23,2026-06-13 00:00:00,2026-06-13 00:00:00,human,True,False,"{""Department"": ""HR"", ""Email"": ""christopher.williams@corp.nexusai.com"", ""CostCenter"": ""HR""}"
arn:aws:iam::123456789012:user/laura-henderson,laura-henderson,AIDAH5TKZTHSXOOI6J5X2,123456789012,/finance/,laura.henderson@corp.nexusai.com,2024-06-16,2026-06-11 00:00:00,2026-06-11 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""laura.henderson@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
arn:aws:iam::123456789012:user/bryanj,bryanj,AIDA6NPF4XEHDMJKU4HN7,123456789012,/,bryan.james@corp.nexusai.com,2022-09-26,2025-07-14 00:00:00,2025-07-14 00:00:00,human,True,False,"{""Department"": ""Legal"", ""Email"": ""bryan.james@corp.nexusai.com"", ""CostCenter"": ""Legal""}"
arn:aws:iam::123456789012:user/d.graham,d.graham,AIDAYU22JTYL6POTJ5D22,123456789012,/finance/,daniel.graham@corp.nexusai.com,2024-08-05,2026-06-16 00:00:00,2026-06-16 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""daniel.graham@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
arn:aws:iam::123456789012:user/aaronn,aaronn,AIDABNJZETKPYVYIFWDG3,123456789012,/,,2020-12-28,2025-02-06 00:00:00,2025-02-06 00:00:00,human,True,False,"{""Department"": ""Legal"", ""Email"": ""aaron.nguyen@corp.nexusai.com"", ""CostCenter"": ""Legal""}"
arn:aws:iam::123456789012:user/andrew-hickman,andrew-hickman,AIDAYFSPEFRJYJYUXGFAT,123456789012,/finance/,andrew.hickman@corp.nexusai.com,2023-11-22,2026-06-09 00:00:00,2026-06-09 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""andrew.hickman@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
