identity_id,ground_truth_anomaly_type,ground_truth_is_anomalous,anomaly_subtype,injection_details
natalie.arroyo@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
kristin.rodriguez@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
julie.rivera@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
wesley.farrell@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
christopher.davis@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
kathleen.gray@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
laura.jackson@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
richard.morgan@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
debra.harrington@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
grace.bradshaw@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
selena.duncan@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
tracy.whitehead@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
joseph.bowers@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
william.peterson@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
aaron.nguyen@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
shelley.woods@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
kevin.kelley@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
melinda.martin@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
mary.johnston@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
tracey.garcia@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
jennifer.wagner@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
alexandra.donovan@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
david.fisher@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
david.caldwell@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
whitney.hicks@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
lindsey.lee@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
amanda.hill@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
christopher.hayden@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
brenda.walters@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
bryan.james@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
jasmine.brown@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
cynthia.poole@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
phillip.elliott@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
chad.welch@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
christopher.walker@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
david.riggs@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
raven.gilbert@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
natasha.shields@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
billy.avila@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
amanda.dudley@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
shelby.byrd@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
daniel.hamilton@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
jennifer.evans@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
robert.adkins@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
robert.soto@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
glenn.jones@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
amy.adkins@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
caitlin.dodson@corp.nexusai.com,ORPHANED_ACCOUNT,True,active_on_cloud_after_offboard,{}
melissa.white@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
frank.gray@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
victoria.wilson@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
kyle.brown@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
anna.baker@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
leslie.walton@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
zoe.bell@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
troy.miller@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
katie.anderson@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
cynthia.diaz@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
mark.steele@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
robert.ramirez@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
tina.herrera@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
omar.smith@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
joseph.davidson@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
brent.gray@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
sherri.mason@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
deborah.kerr@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
thomas.pierce@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
shawn.edwards@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
leah.shields@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
melissa.cannon@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
chad.hodges@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
kimberly.reed@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
emily.evans@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
alejandro.vaughan@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
wanda.santos@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
eric.pierce@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
loretta.potter@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
derek.murray@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
andrea.williams@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
george.daniel@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
natasha.decker@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
kenneth.fowler@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
yvette.huff@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
samuel.wolfe@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
angel.doyle@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
jacqueline.nelson@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
robert.silva@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
karen.decker@corp.nexusai.com,OVERPRIVILEGED,True,cross_platform_admin,{}
joseph.christian@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
john.alvarez@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
ronald.smith@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
joshua.tyler@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
hannah.brewer@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
ryan.simon@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
patricia.miller@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
tanya.house@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
tanner.anderson@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
tammy.ramirez@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
charles.lewis@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
ronald.stephens@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
jonathan.fletcher@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
nicholas.johnson@corp.nexusai.com,PRIVILEGE_ESCALATION,True,no_ticket_role_change,{}
